YEAR,    JAN,    FEB,    MAR,    APR,    MAY,    JUN,    JUL,    AUG,    SEP,    OCT,    NOV,    DEC,   D-J-F,   M-A-M,   J-J-A,   S-O-N,  metANN
1880,   -2.7,   -0.8,    4.1,   14.6,   16.0,   19.9,   24.0,   19.2,   16.7,   10.9,    5.9,    3.3,    -1.4,    11.6,    21.0,    11.2,   10.58
1881,   -3.8,   -1.2,    5.5,    8.8,   16.7,   19.4,   22.8,   21.6,   15.5,    8.5,    3.4,    0.7,    -0.6,    10.3,    21.3,     9.1,   10.04
1882,    1.1,    2.3,   10.7,   12.1,   16.9,   18.4,   22.3,   18.7,   17.0,   11.3,    5.8,    2.5,     1.4,    13.2,    19.8,    11.4,   11.44
1883,   -1.2,    1.8,    1.7,    9.5,   16.7,   20.3,   21.7,   20.5,   16.2,   11.1,    4.5,    0.7,     1.0,     9.3,    20.8,    10.6,   10.44
1884,    1.5,    2.8,    6.9,   10.5,   17.7,   17.8,   22.4,   19.7,   16.8,    9.9,    2.2,    2.0,     1.7,    11.7,    20.0,     9.6,   10.74
1885,   -0.5,    2.6,    7.2,   14.3,   15.0,   22.0,   22.1,   19.6,   17.5,   11.2,    6.4,    2.3,     1.4,    12.2,    21.2,    11.7,   11.62
1886,    0.3,   -1.6,    2.2,   13.2,   17.1,   19.2,   22.2,   22.0,   18.8,   12.0,    6.4,    2.8,     0.3,    10.8,    21.1,    12.4,   11.18
1887,   -1.3,   -1.1,    3.8,   11.5,   16.3,   19.0,   24.2,   20.9,   18.5,    8.5,    6.2,   -1.6,     0.1,    10.5,    21.4,    11.1,   10.78
1888,   -4.0,   -2.9,    6.1,   10.8,   17.1,   20.4,   20.4,   21.0,   17.2,    9.8,    1.9,    0.7,    -2.8,    11.3,    20.6,     9.6,    9.68
1889,   -1.6,   -0.4,    3.1,   11.6,   19.6,   22.7,   21.8,   20.6,   13.9,   12.6,    4.5,   -3.5,    -0.4,    11.4,    21.7,    10.3,   10.76
